explicit,is_local,popularity,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_y,time_signature,like
False,False,53,1,0.848,0.124,6,-16.637,0,0.109,0.616,0.775,0.0886,0.441,126.949,166000,4,1
False,False,48,3,0.831,0.266,4,-7.985,0,0.0942,0.44,0.366,0.169,0.322,86.013,180737,4,1
False,False,14,5,0.787,0.305,11,-12.612,0,0.194,0.452,0.781,0.0776,0.577,180.047,153045,4,1
False,False,21,15,0.723,0.725,9,-4.61,0,0.0368,0.212,0.02,0.103,0.547,87.405,87919,4,1
False,False,22,6,0.412,0.373,9,-7.128,0,0.313,0.0494,0.783,0.117,0.357,166.956,105974,3,1
False,False,0,9,0.692,0.448,0,-13.417,1,0.0286,0.772,0.87,0.347,0.533,102.013,190112,4,1
False,False,0,5,0.578,0.379,1,-13.502,1,0.486,0.843,0.916,0.11,0.489,168.576,74501,4,1
False,False,36,3,0.685,0.783,10,-5.538,0,0.0835,0.229,0.768,0.0887,0.854,91.068,137102,4,1
False,False,19,3,0.779,0.673,10,-6.751,0,0.061,0.00743,0.749,0.102,0.334,93.436,121488,4,1
False,False,4,4,0.791,0.507,1,-10.469,1,0.171,0.589,0.767,0.127,0.723,172.01,106068,4,1
False,False,17,16,0.523,0.814,6,-5.081,0,0.101,0.0148,0.00119,0.237,0.51,83.044,118554,4,1
False,False,9,5,0.74,0.849,1,-5.428,1,0.211,0.141,0.0,0.178,0.755,91.002,117866,4,1
False,False,39,4,0.758,0.507,9,-5.03,1,0.0308,0.214,0.273,0.286,0.716,90.004,160000,4,1
False,False,65,1,0.833,0.641,9,-6.337,1,0.0613,0.266,3.75e-06,0.268,0.586,86.02,122791,4,1
False,False,0,8,0.489,0.249,9,-12.238,1,0.175,0.977,0.904,0.0789,0.484,87.101,167018,4,1
False,False,16,12,0.812,0.612,1,-9.841,1,0.0611,0.0914,0.841,0.201,0.96,91.946,161565,4,1
False,False,9,1,0.825,0.591,10,-11.708,0,0.0598,0.106,0.793,0.0995,0.657,85.052,120016,4,1
False,False,43,1,0.532,0.942,8,-5.425,0,0.0965,0.166,0.182,0.218,0.599,179.825,141333,4,1
False,False,29,2,0.558,0.569,6,-12.264,0,0.31,0.0433,0.277,0.07,0.962,175.54,111856,4,1
False,False,25,2,0.828,0.564,8,-8.383,1,0.109,0.129,0.733,0.106,0.735,86.067,122791,4,1
False,False,18,8,0.549,0.671,6,-10.052,0,0.0528,0.74,0.974,0.113,0.648,149.896,81375,4,1
False,False,0,7,0.71,0.536,11,-9.195,1,0.0235,0.278,0.636,0.123,0.743,87.997,167216,4,1
False,False,31,1,0.732,0.46,1,-10.591,0,0.0305,0.0186,0.76,0.0775,0.901,92.095,159208,4,1
False,False,29,1,0.701,0.799,5,-5.909,1,0.182,0.154,0.41,0.234,0.884,96.976,165773,4,1
False,False,0,10,0.671,0.411,2,-7.214,0,0.0405,0.832,0.487,0.339,0.652,79.149,130473,4,1
False,False,50,2,0.567,0.335,11,-9.088,0,0.175,0.000179,0.74,0.275,0.135,148.094,77845,4,1
False,False,39,1,0.797,0.274,7,-14.074,0,0.0996,0.905,0.924,0.124,0.507,86.158,67030,4,1
False,False,53,1,0.675,0.495,10,-11.151,0,0.0957,0.444,0.964,0.162,0.718,73.117,52603,4,1
False,False,33,2,0.704,0.579,0,-7.336,0,0.0728,0.631,0.565,0.211,0.622,152.02,185262,4,1
False,False,26,12,0.855,0.832,11,-2.541,0,0.123,0.17,0.0805,0.117,0.505,81.012,136296,4,1
False,False,63,1,0.501,0.988,1,-3.339,1,0.12,6.02e-05,5.54e-05,0.394,0.192,94.953,221748,4,0
True,False,49,1,0.384,0.974,1,-3.647,0,0.141,0.000153,0.000247,0.226,0.155,194.842,247370,4,0
True,False,66,4,0.308,0.916,4,-4.13,0,0.0875,2.02e-05,0.0,0.322,0.68,122.231,185733,4,0
True,False,61,3,0.528,0.961,10,-4.621,0,0.107,0.000149,0.000146,0.102,0.441,130.038,176695,4,0
False,False,58,2,0.481,0.97,6,-2.684,0,0.0695,1.23e-05,0.0102,0.206,0.345,100.013,240525,4,0
True,False,57,1,0.45,0.993,6,-2.216,1,0.292,3.45e-05,0.0308,0.451,0.217,160.029,211875,4,0
False,False,62,1,0.245,0.972,2,-6.387,1,0.0739,0.00141,0.68,0.131,0.107,105.939,302293,4,0
False,False,62,1,0.252,0.957,1,-2.318,0,0.473,0.00268,0.000451,0.0834,0.192,187.853,199788,4,0
True,False,68,1,0.497,0.916,7,-3.323,1,0.108,0.000323,0.0,0.36,0.401,96.051,215004,4,0
False,False,60,1,0.48,0.97,8,-5.006,0,0.0595,3.72e-05,0.309,0.29,0.346,136.123,238373,4,0
True,False,63,9,0.533,0.967,1,-3.762,0,0.102,0.000232,4.59e-05,0.109,0.477,130.052,227813,4,0
False,False,49,12,0.267,0.996,2,-3.385,1,0.0819,1.24e-05,0.386,0.0503,0.0648,104.916,244965,3,0
False,False,58,17,0.2,0.869,9,-7.049,0,0.0886,0.00322,0.174,0.134,0.179,86.479,300013,4,0
False,False,58,3,0.486,0.75,0,-8.237,0,0.0544,0.0141,0.00139,0.104,0.229,141.966,306347,4,0
False,False,54,1,0.243,0.995,2,-3.57,1,0.257,4.07e-05,0.00431,0.0601,0.0685,145.59,290493,4,0
False,False,59,1,0.477,0.905,5,-3.892,0,0.0689,7.12e-05,0.000517,0.0959,0.493,93.998,256467,4,0
False,False,52,8,0.469,0.961,7,-7.301,0,0.168,0.000834,0.000155,0.105,0.157,128.0,252270,4,0
True,False,60,1,0.259,0.964,2,-5.683,1,0.12,5.05e-05,0.000384,0.455,0.0996,124.994,257625,4,0
False,False,53,1,0.354,0.877,9,-3.782,0,0.0902,0.0019,0.0,0.541,0.29,164.967,194909,4,0
False,False,59,3,0.452,0.873,2,-8.308,0,0.0723,0.00095,0.362,0.0672,0.226,107.426,238750,4,0
False,False,42,1,0.275,0.803,4,-5.78,1,0.0687,0.000155,0.000357,0.0566,0.437,79.43,217787,4,0
False,False,57,3,0.388,0.98,0,-5.984,0,0.149,2.28e-05,0.825,0.926,0.166,196.004,251440,4,0
True,False,50,1,0.547,0.969,2,-4.774,1,0.0914,1.87e-05,1.25e-05,0.385,0.296,133.011,225133,4,0
False,False,56,1,0.422,0.919,2,-4.168,0,0.151,0.000245,0.000351,0.21,0.279,149.989,243600,4,0
True,False,48,1,0.489,0.962,5,-5.497,0,0.105,0.000414,4.27e-05,0.252,0.34,160.055,210000,4,0
False,False,51,1,0.445,0.968,6,-2.563,1,0.207,1.29e-05,9.99e-06,0.338,0.326,114.92,207391,4,0
False,False,56,1,0.467,0.911,2,-5.013,1,0.0505,0.0003,0.0358,0.116,0.315,147.007,184286,4,0
False,False,50,1,0.334,0.965,11,-3.932,0,0.0988,0.000218,0.0,0.317,0.481,90.521,205333,4,0
False,False,57,1,0.537,0.96,2,-3.705,1,0.0594,0.000175,4.25e-06,0.0892,0.382,137.986,220000,4,0
False,False,49,1,0.44,0.978,8,-5.441,1,0.11,2.53e-05,0.00191,0.339,0.386,162.06,222234,4,0
